Word,Rank,Freqency
the,1,0.062368344
and,2,0.044375388
of,3,0.033327171
to,4,0.022292995
a,5,0.015721724
in,6,0.015630463
i,7,0.013381694
that,8,0.0132207
he,9,0.011891095
it,10,0.010086932
his,11,0.010003627
for,12,0.009086803
was,13,0.008726907
with,14,0.008220524
not,15,0.008092291
is,16,0.007655641
be,17,0.007518515
you,18,0.007455335
as,19,0.00677111
all,20,0.006347097
but,21,0.006347097
they,22,0.006077057
him,23,0.006050381
shall,24,0.005464437
her,25,0.005356796
my,26,0.004896278
had,27,0.004822801
them,28,0.004772257
have,29,0.0047292
said,30,0.004397384
me,31,0.004380536
at,32,0.004276638
from,33,0.004244814
unto,34,0.004216734
she,35,0.004163849
this,36,0.004154957
which,37,0.004091776
on,38,0.003997707
by,39,0.00396635
lord,40,0.00394997
their,41,0.003645766
so,42,0.003607858
will,43,0.003422527
were,44,0.003209585
are,45,0.003201629
thou,46,0.00315436
or,47,0.002956394
when,48,0.002947501
one,49,0.002842668
there,50,0.00282348
no,51,0.002673718
out,52,0.002672782
thy,53,0.002622705
what,54,0.002590413
if,55,0.002434099
man,56,0.002418655
god,57,0.002413039
your,58,0.00238449
then,59,0.00235875
we,60,0.002339562
up,61,0.002318969
an,62,0.002278253
thee,63,0.002242684
now,64,0.002161719
do,65,0.002161251
ye,66,0.002155635
upon,67,0.002143935
who,68,0.001959073
into,69,0.001918356
more,70,0.001889808
would,71,0.001883724
very,72,0.001864536
come,73,0.001689033
could,74,0.001674525
before,75,0.001604324
been,76,0.001593092
any,77,0.001572968
like,78,0.00156314
came,79,0.00155846
did,80,0.001437714
little,81,0.001433502
day,82,0.00142929
know,83,0.001407762
than,84,0.001360493
every,85,0.001345517
see,86,0.001330073
these,87,0.001327733
great,88,0.001327265
go,89,0.001320713
house,90,0.001315565
king,91,0.001314629
us,92,0.001305737
down,93,0.001300589
people,94,0.001297312
am,95,0.001292164
some,96,0.001281868
made,97,0.001280464
our,98,0.001269232
son,99,0.001266892
say,100,0.001264552
after,101,0.001264084
good,102,0.001248172
time,103,0.001235068
men,104,0.001233196
how,105,0.00122524
about,106,0.001209795
israel,107,0.001208391
let,108,0.001203243
should,109,0.001191075
hath,110,0.001186395
may,111,0.001185459
such,112,0.001183587
over,113,0.001174227
only,114,0.001161123
even,115,0.001155039
hand,116,0.001124618
other,117,0.001123682
must,118,0.001091858
two,119,0.001089986
mr,120,0.00108437
against,121,0.001083434
went,122,0.001079222
much,123,0.001071266
well,124,0.001062841
make,125,0.001051141
children,126,0.001036165
own,127,0.001036165
yet,128,0.001030081
also,129,0.001023061
again,130,0.000974856
land,131,0.00096456
old,132,0.000951456
away,133,0.000939288
father,134,0.000939288
can,135,0.00093648
things,136,0.000917292
might,137,0.00091542
thing,138,0.000908868
o,139,0.0009084
first,140,0.000894359
because,141,0.000878915
way,142,0.000874235
mrs,143,0.000860195
give,144,0.000851303
never,145,0.000845219
where,146,0.000842879
take,147,0.000837731
nor,148,0.000832583
saying,149,0.000814798
long,150,0.000797014
though,151,0.000794674
think,152,0.000785314
himself,153,0.000785314
shalt,154,0.000782974
those,155,0.000776422
has,156,0.000771742
here,157,0.000769402
being,158,0.000769402
earth,159,0.000764254
therefore,160,0.000760978
saw,161,0.000756766
ever,162,0.00075349
heard,163,0.000743661
put,164,0.000743193
through,165,0.000741321
without,166,0.000738045
many,167,0.000736641
off,168,0.000721197
place,169,0.000717921
most,170,0.000709965
behold,171,0.000687033
heart,172,0.000678141
name,173,0.000678141
too,174,0.000676269
nothing,175,0.000669717
eyes,176,0.000664568
whom,177,0.0006641
among,178,0.00065942
head,179,0.000653804
thus,180,0.00063836
life,181,0.00063836
still,182,0.000629
thought,183,0.00062432
just,184,0.000617768
last,185,0.000614024
done,186,0.000614024
its,187,0.000603728
word,188,0.000599984
saith,189,0.000592964
face,190,0.00059156
found,191,0.000591092
days,192,0.000590155
same,193,0.000583135
voice,194,0.000582199
took,195,0.000579391
why,196,0.000576583
brought,197,0.000575179
hast,198,0.000574711
hear,199,0.000573307
another,200,0.000572839
world,201,0.000572371
while,202,0.000564415
three,203,0.000555991
forth,204,0.000555991
sons,205,0.000555055
sea,206,0.000553651
set,207,0.000550375
miss,208,0.000548035
young,209,0.000540547
round,210,0.000538207
night,211,0.000537271
tell,212,0.000533059
called,213,0.000527911
right,214,0.000526975
under,215,0.000523699
look,216,0.000522295
side,217,0.000519955
neither,218,0.000516211
cried,219,0.000512467
heaven,220,0.000511062
back,221,0.000509658
seemed,222,0.00050685
love,223,0.000504978
soon,224,0.000503106
both,225,0.000499362
quite,226,0.000499362
pass,227,0.000491874
david,228,0.000491406
words,229,0.000490938
thine,230,0.000489534
city,231,0.000485322
sir,232,0.000475962
left,233,0.000475962
till,234,0.000474558
years,235,0.000473622
always,236,0.000467538
mine,237,0.000467538
hands,238,0.000465198
bring,239,0.000463794
oh,240,0.000462858
jesus,241,0.00046239
speak,242,0.000461454
looked,243,0.000459582
whale,244,0.000457242
mother,245,0.000456306
together,246,0.000446478
herself,247,0.000445542
high,248,0.000442734
sent,249,0.000440862
whole,250,0.000437586
death,251,0.000436182
stood,252,0.000435246
seen,253,0.000434778
thereof,254,0.000430097
once,255,0.000428693
something,256,0.000427289
gave,257,0.000427289
far,258,0.000425417
sure,259,0.000424481
end,260,0.000415589
soul,261,0.000414653
poor,262,0.000413717
woman,263,0.000406697
according,264,0.000405761
better,265,0.000405293
moses,266,0.000404357
work,267,0.000399677
part,268,0.000397805
fire,269,0.000397337
eat,270,0.000397337
given,271,0.000395465
morning,272,0.000393125
indeed,273,0.000386105
jerusalem,274,0.000382829
whose,275,0.000382829
captain,276,0.000381893
don't,277,0.000381425
judah,278,0.000380489
cannot,279,0.000380489
each,280,0.000379085
evil,281,0.000377213
answered,282,0.000374873
rather,283,0.000373001
enough,284,0.000371129
going,285,0.000366917
full,286,0.000365981
told,287,0.000365045
themselves,288,0.000362237
myself,289,0.000362237
water,290,0.000358961
hundred,291,0.000358493
between,292,0.000358493
offering,293,0.000358493
light,294,0.000357089
almost,295,0.000355685
began,296,0.000355217
thousand,297,0.000352876
emma,298,0.00035194
,299,0.000351472
rest,300,0.000350536
knew,301,0.000349132
new,302,0.000348664
get,303,0.00034726
mind,304,0.00034726
dead,305,0.000346792
spirit,306,0.000345856
sight,307,0.000343984
lady,308,0.00034024
turned,309,0.000339772
brother,310,0.000339304
having,311,0.000339304
body,312,0.000338368
find,313,0.0003379
dear,314,0.000336964
white,315,0.000336964
keep,316,0.000335092
door,317,0.000334156
art,318,0.00033322
wife,319,0.000332752
blood,320,0.000331348
half,321,0.00033088
friend,322,0.000329008
stand,323,0.000325732
moment,324,0.000325264
holy,325,0.000323392
gone,326,0.000321988
none,327,0.000319648
law,328,0.000317308
fear,329,0.00031684
hope,330,0.000314032
home,331,0.000313564
really,332,0.000310756
few,333,0.000310288
however,334,0.000308416
priest,335,0.000308416
spake,336,0.000307012
believe,337,0.00030514
gold,338,0.0003028
taken,339,0.000301396
peace,340,0.000299056
egypt,341,0.000294376
does,342,0.00029344
call,343,0.000292504
mouth,344,0.000290164
elinor,345,0.000289228
within,346,0.000288292
yes,347,0.000287824
sword,348,0.000285484
perhaps,349,0.000285016
known,350,0.00028408
feet,351,0.000282676
strong,352,0.000282676
felt,353,0.000281272
power,354,0.000280804
near,355,0.000280336
cast,356,0.0002794
whether,357,0.000278464
fathers,358,0.000278464
present,359,0.000277996
year,360,0.000277996
room,361,0.000277528
asked,362,0.00027706
sort,363,0.000276124
bear,364,0.000275656
ship,365,0.000273783
air,366,0.000273315
four,367,0.000272847
best,368,0.000271911
servant,369,0.000271443
servants,370,0.000270039
brethren,371,0.000270039
christ,372,0.000270039
small,373,0.000267231
turn,374,0.000264891
next,375,0.000263019
sat,376,0.000261147
happy,377,0.000260679
mean,378,0.000259275
