STATE,SOC_NAME,COUNTER
 ALABAMA,Computer Systems Analysts,508
 ALABAMA,"SOFTWARE DEVELOPERS, APPLICATIONS",463
 ALABAMA,COMPUTER SYSTEMS ANALYSTS,393
 ALABAMA,Computer Programmers,378
 ALABAMA,"Internists, General",328
 ALABAMA,"Software Developers, Applications",289
 ALABAMA,COMPUTER PROGRAMMERS,289
 ALABAMA,Mechanical Engineers,280
 ALABAMA,Accountants and Auditors,221
 ALABAMA,"Physicians and Surgeons, All Other",212
 ALASKA,Computer Systems Analysts,118
 ALASKA,Accountants and Auditors,50
 ALASKA,"COMPUTER OCCUPATIONS, ALL OTHER",38
 ALASKA,"Geoscientists, Except Hydrologists and Geographers",34
 ALASKA,Computer Programmers,32
 ALASKA,Petroleum Engineers,29
 ALASKA,Geological and Petroleum Technicians,24
 ALASKA,Medical and Clinical Laboratory Technologists,23
 ALASKA,"Software Developers, Applications",22
 ALASKA,COMPUTER SYSTEMS ANALYSTS,21
 ARIZONA,Computer Systems Analysts,4795
 ARIZONA,COMPUTER SYSTEMS ANALYSTS,3764
 ARIZONA,"SOFTWARE DEVELOPERS, APPLICATIONS",3291
 ARIZONA,Computer Programmers,2632
 ARIZONA,"Software Developers, Applications",2539
 ARIZONA,"COMPUTER OCCUPATIONS, ALL OTHER",1991
 ARIZONA,COMPUTER PROGRAMMERS,1979
 ARIZONA,"Computer Occupations, All Other",1121
 ARIZONA,COMPUTER SYSTEMS ANALYST,890
 ARIZONA,"Electronics Engineers, Except Computer",835
 ARKANSAS,Computer Systems Analysts,2685
 ARKANSAS,COMPUTER SYSTEMS ANALYSTS,1891
 ARKANSAS,Computer Programmers,1346
 ARKANSAS,COMPUTER PROGRAMMERS,1135
 ARKANSAS,"COMPUTER OCCUPATIONS, ALL OTHER",578
 ARKANSAS,"SOFTWARE DEVELOPERS, APPLICATIONS",576
 ARKANSAS,"Software Developers, Applications",556
 ARKANSAS,"Physicians and Surgeons, All Other",465
 ARKANSAS,"Computer Occupations, All Other",372
 ARKANSAS,COMPUTER SYSTEMS ANALYST,316
 CALIFORNIA,"SOFTWARE DEVELOPERS, APPLICATIONS",50644
 CALIFORNIA,Computer Systems Analysts,50132
 CALIFORNIA,"Software Developers, Applications",49965
 CALIFORNIA,COMPUTER SYSTEMS ANALYSTS,33397
 CALIFORNIA,Computer Programmers,28377
 CALIFORNIA,COMPUTER PROGRAMMERS,22644
 CALIFORNIA,"COMPUTER OCCUPATIONS, ALL OTHER",21340
 CALIFORNIA,"Software Developers, Systems Software",17064
 CALIFORNIA,"Computer Occupations, All Other",14716
 CALIFORNIA,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",13963
 COLORADO,Computer Systems Analysts,3024
 COLORADO,"Software Developers, Applications",2293
 COLORADO,Computer Programmers,2260
 COLORADO,"SOFTWARE DEVELOPERS, APPLICATIONS",2206
 COLORADO,COMPUTER SYSTEMS ANALYSTS,2114
 COLORADO,"COMPUTER OCCUPATIONS, ALL OTHER",1593
 COLORADO,COMPUTER PROGRAMMERS,1460
 COLORADO,"Computer Occupations, All Other",995
 COLORADO,"Software Developers, Systems Software",686
 COLORADO,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",427
 CONNECTICUT,Computer Systems Analysts,5474
 CONNECTICUT,Computer Programmers,4973
 CONNECTICUT,COMPUTER SYSTEMS ANALYSTS,3622
 CONNECTICUT,COMPUTER PROGRAMMERS,3135
 CONNECTICUT,"SOFTWARE DEVELOPERS, APPLICATIONS",2611
 CONNECTICUT,"Software Developers, Applications",2403
 CONNECTICUT,"COMPUTER OCCUPATIONS, ALL OTHER",2099
 CONNECTICUT,"Computer Occupations, All Other",1370
 CONNECTICUT,Financial Analysts,1094
