Name,Article number
STUART ELLIOTT,1016
NADINE BROZAN,608
ALAN TRUSCOTT,322
BRUCE LAMBERT,318
JOE SEXTON,299
STEPHEN HOLDEN,297
ADAM BRYANT,272
MURRAY CHASS,260
ALLAN KOZINN,255
JON PARELES,246
CLIFTON BROWN,242
JACK CURRY,235
KENNETH GILPIN,233
JENNIFER DUNNING,227
GERALD ESKENAZI,223
HARVEY ARATON,221
FRANK LITSKY,219
FILIP BONDY,219
EDMUND ANDREWS,219
BERNARD HOLLAND,213
JOE LAPOINTE,209
PAUL LEWIS,202
JOSEPH DURSO,202
TIMOTHY SMITH,198
CLYDE HABERMAN,197
PETER WATROUS,196
MICHAEL MARTINEZ,190
GWEN IFILL,189
WILLIAM RHODEN,185
KEITH BRADSHER,185
BARBARA CROSSETTE,184
MATTHEW WALD,183
JANET MASLIN,183
ROBIN FINN,179
MICHAEL JANOFSKY,177
WILLIAM WALLACE,176
MALCOLM MORAN,175
EBEN SHAPIRO,174
DAVE ANDERSON,172
ALAN RIDING,171
STEVEN GREENHOUSE,170
DEGEN PENER,170
JOHN BURNS,169
GEORGE VECSEY,169
THOMAS FRIEDMAN,168
RICHARD BERKE,165
WALTER GOODMAN,164
EDWARD ROTHSTEIN,163
ALEX YANNIS,163
JOHN O'CONNOR,161
ADAM CLYMER,160
ANDREW ROSENTHAL,158
JACK ANDERSON,156
TODD PURDUM,155
WOLFGANG SAXON,153
JAIME DIAZ,153
ERIC SCHMITT,153
ANNA KISSELGOFF,152
JERRY GRAY,151
RONALD SULLIVAN,150
DORON LEVIN,150
FLOYD NORRIS,149
CLAIRE SMITH,149
ROBERT PEAR,147
CLIFFORD KRAUSS,147
VINCENT CANBY,146
MICHAEL WINES,145
RICHARD STEVENSON,144
DENNIS HEVESI,144
ANTHONY RAMIREZ,144
THOMAS GEORGE,143
SAM VERHOVEK,143
MICHAEL QUINT,143
WAYNE KING,142
JONATHAN FUERBRINGER,140
ALVIN KLEIN,140
KAREN SCHOEMER,139
WILLIAM SAFIRE,138
KEVIN SACK,138
ROBERT HURTADO,137
RICHARD SANDOMIR,137
ANDREW POLLACK,137
HOLLAND COTTER,135
ELEANOR CHARLES,135
FLORENCE FABRICANT,134
JAMES OESTREICH,133
WILLIAM SCHMIDT,132
ROBERT HANLEY,132
ROBERT BYRNE,132
SETH FAISON,130
ALAN COWELL,130
MARVINE HOWE,129
STEPHEN KINZER,128
ROBIN TONER,128
STEPHANIE STROM,127
JOHN MARKOFF,127
DAVID SANGER,127
BRYAN MILLER,126
PETER LEWIS,125
JOSEPH BERGER,125
BILL CARTER,125
R. APPLE,124
CRAIG WHITNEY,124
CALVIN SIMS,124
THOMAS HAYES,123
